Document,Label,LabelNum
Critics claim publicly available data shows worrying failures on the 737 Max since its return to service.,Business,0
Airlines and oil firms slide as FTSE 100 index of leading shares suffers biggest drop in more than a year.,Business,0
Chip shortages lead to production dropping to the lowest level recorded for October since 1956.,Business,0
"Analysts say this year's sale will be the biggest to date, but retailers won't offer as many discounts.",Business,0
The boss of the world's largest fertiliser producer says gas prices are responsible for higher food prices.,Business,0
Wife of a former Nissan boss on trial in Japan says he is a forgotten victim of the Carlos Ghosn affair.,Business,0
"Strikes or protests are planned in 20 countries, on one of the busiest days of the year for retail.",Business,0
"Black Friday is back and Americans, flush with Covid cash, are going out to spend.",Business,0
"It is unclear whether the placement scheme for 16-24 year olds is working, says National Audit Office.",Business,0
It comes as China's technology industry regulator reviews compliance with new privacy rules.,Business,0
"Steve Finch of toy retailer bopster, explains the pressures his firm is under for Black Friday this year.",Business,0
"Six southern African countries are put on the red list, amid ""deep concern"" over a new variant of the virus.",Business,0
The UK energy market has seen 24 companies collapse since September after wholesale gas prices rose.,Business,0
TNT owner FedEx is sorry as hundreds say they have faced long waits to receive travel documents.,Business,0
It was the most used during a year of lockdowns that saw passenger numbers drop 78% due to Covid.,Business,0
"The energy firm, with 1.7 million customers, has been put into a special form of administration.",Business,0
"Parties are also likely to be in venues outside city centres, says the owner of Harvester and All Bar One.",Business,0
Jamie Dimon has apologised after saying that his Wall Street bank would outlast China's ruling party.,Business,0
It is the latest such move as soaring prices threaten to destabilise the post-pandemic recovery.,Business,0
The move comes as tensions grow between the US and China over the status of Taiwan and trade issues.,Business,0
Browns of Chester served the city for 241 years before it closed when the chain collapsed in May.,Business,0
Portugal's bike factories have been very busy since April 2020 as cycling has surged in popularity.,Business,0
"Peter Done, co-founder of Betfred and CEO of Peninsula, shares his business advice for CEO Secrets.",Business,0
South Africa's main electricity company Eskom plans to switch from using coal to renewable energy.,Business,0
How a former World War Two pilot came second in a cycling competition for older people.,Business,0
A host of firms are developing mini nuclear reactors but questions remain over safety and costs.,Business,0
Covid pushed many of us to ditch screen time for hobbies - knitting was among the most popular.,Business,0
Covid changed our shopping habits but will it shift how we make one of our biggest purchases?,Business,0
Covid has led to an increase in parenting gurus using social media to support new mums and dads.,Business,0
"Always have a back-up supplier so they can take over if needed, says offcuts boss Nish Parekh.",Business,0
Small farms in Africa struggle to compete with commercial agriculture - can new platforms help?,Business,0
How the football sticker maker survived a thieving tycoon and competition from Lycra-clad wrestlers.,Business,0
A growing number of tech firms have developed robots the say could replace bar staff.,Business,0
Xbox boss Phil Spencer talks to BBC podcast Press X to Continue on the console's 20th anniversary.,Business,0
The rodent famous for his financial portfolio and trading cage died peacefully on Tuesday.,Technology,1
"A new museum showcasing more than 2,000 retro mobile phones launches online.",Technology,1
Extinction Rebellion targets 13 sites in the UK on the retail giant's busiest day of the year.,Technology,1
"Bargain hunters could be disappointed this year, especially if they are hoping to buy a games console.",Technology,1
"Strikes or protests are planned in 20 countries, on one of the busiest days of the year for retail.",Technology,1
It comes as China's technology industry regulator reviews compliance with new privacy rules.,Technology,1
The music streaming giant is experimenting on iPhone to let users move through clips quickly.,Technology,1
New rules are introduced to make internet-connected home devices less likely to be hacked.,Technology,1
The move comes as tensions grow between the US and China over the status of Taiwan and trade issues.,Technology,1
The UK advertising watchdog says the rules will come into force from May next year.,Technology,1
Image recognition will be used to help re-build the past piece by piece.,Technology,1
Many recent big advances in tech have one key thing at the heart of then: artificial intelligence.,Technology,1
A huge amount of our lives is influenced by algorithms. Here's how they work.,Technology,1
Companies around the world are racing to create a new generation of computers.,Technology,1
Fans of crypto-currencies say they are the future of money - but at what cost?,Technology,1
How easy would it be for a government to block one of the biggest sources of news and information?,Technology,1
Lara Lewington visits the labs which have some of the latest innovations in solar energy.,Technology,1
LJ Rich looks at the best of the week's technology news stories.,Technology,1
A recycling plant is using machines to stop valuable materials in building waste being incinerated.,Technology,1
LJ Rich looks at the best of the week's technology news stories.,Technology,1
"Tomatoes, cucumbers and peppers are being grown with warmth harnessed from a water treatment works.",Technology,1
South Africa's main electricity company Eskom plans to switch from using coal to renewable energy.,Technology,1
How a former World War Two pilot came second in a cycling competition for older people.,Technology,1
A host of firms are developing mini nuclear reactors but questions remain over safety and costs.,Technology,1
Covid has led to an increase in parenting gurus using social media to support new mums and dads.,Technology,1
Small farms in Africa struggle to compete with commercial agriculture - can new platforms help?,Technology,1
Xbox boss Phil Spencer talks to BBC podcast Press X to Continue on the console's 20th anniversary.,Technology,1
Olaf Scholz will head a three-party coalition with broad plans for transition to a green economy.,ScienceAndEnv,2
A spacecraft has started its journey as it aims to deliberately nudge an asteroid off course.,ScienceAndEnv,2
English universities begin programmes to attract more ethnic minority students into research.,ScienceAndEnv,2
"The mosaic, part of a villa complex, is said to be one of the most significant found in Britain.",ScienceAndEnv,2
"Experts say hydrofluorocarbons, which are used in fridges and aerosols, make global warming worse.",ScienceAndEnv,2
